x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89637.72320803275,43159.467918483824,6.5,0.0,0.0,0.8816339314439607,0.47193390525227746,8.26916617998792
89637.26569012561,43160.15083796223,6.5,0.0,0.0,0.8827362233297018,0.4698688753488731,8.291120414227498
89636.80132440847,43160.83732428887,6.5,0.0,0.0,0.8822489167871573,0.47078322912768206,8.311275659746236
89636.3175250683,43161.56560300143,6.5,0.0,0.0,0.8795969230281885,0.4757197210536294,8.35413697729314
89635.88922755337,43162.231815239684,6.5,0.0,0.0,0.87658977291071,0.4812383713175309,8.368084390759046
89635.42120587503,43162.974311876416,6.5,0.0,0.0,0.8751841096395984,0.4837900104739074,8.378199994411768
89635.00030213912,43163.64704247848,6.5,0.0,0.0,0.8739441559647386,0.48602634934237937,8.383036597614625
89634.53595866865,43164.39981723013,6.5,0.0,0.0,0.8744689629583897,0.48508147029388615,8.33795095896905
89634.11850503655,43165.06016698513,6.5,0.0,0.0,0.8796888466014846,0.4755497168172322,8.194684202939284
89633.55451660196,43165.89906366415,6.5,0.0,0.0,0.8867339730111526,0.4622800678245347,8.033480822671843
89633.11124023759,43166.50236590166,6.5,0.0,0.0,0.8973056687464017,0.441409715384214,7.8393568684411585
89632.62251920534,43167.108750633524,6.5,0.0,0.0,0.9067576098102854,0.4216522703023644,7.828926490709592
89632.10796847686,43167.69285681264,6.5,0.0,0.0,0.9161200599190311,0.4009040231950173,7.865135392405237
89631.53166832241,43168.28962882327,6.5,0.0,0.0,0.9233536993811078,0.3839504471142375,7.9231783355930085
89630.99286740286,43168.81409350514,6.5,0.0,0.0,0.9288130273073485,0.3705487286500369,7.990160188947706
89630.31812231205,43169.441197737004,6.5,0.0,0.0,0.9319081544596588,0.3626943501787597,8.039236968726605
89629.69269315035,43170.00680002351,6.5,0.0,0.0,0.9345005106855747,0.3559617894218425,8.0882995277814
89628.93090336482,43170.67737337129,6.5,0.0,0.0,0.9368404879635218,0.3497569157461656,8.146163286730369
89628.33948975222,43171.18083879352,6.5,0.0,0.0,0.9403608726546221,0.34017852545426447,8.15787877873181
89627.70649234552,43171.696627565536,6.5,0.0,0.0,0.9451299334690673,0.3266946722258513,8.171423555016993
89626.97531165366,43172.25189724348,6.5,0.0,0.0,0.9507057490319539,0.3100944674733676,8.023482556082591
89626.3934235411,43172.65518195432,6.5,0.0,0.0,0.9568776295529428,0.290491311507145,7.883344347276185
89625.73407051708,43173.08204367803,6.5,0.0,0.0,0.9602887579042935,0.27900806698486214,7.872512268175387
89625.09563610148,43173.478847216065,6.5,0.0,0.0,0.961188185039816,0.2758935898854203,7.894864518210614
89624.35526824302,43173.94463742444,6.5,0.0,0.0,0.9591919116177963,0.2827558605705597,7.96747906066459
89623.75549104469,43174.344151490826,6.5,0.0,0.0,0.9533831627520235,0.3017623982224238,7.998368988487302
89623.11433880278,43174.817650351484,6.5,0.0,0.0,0.9430949377952017,0.3325235905993208,8.004533228403321
89622.50834783904,43175.34845957169,6.5,0.0,0.0,0.9269608689597919,0.37515802992513364,8.001147100816695
89621.9659411696,43175.9292882875,6.5,0.0,0.0,0.9051723908513195,0.4250446362918911,7.984634144608878
89621.47095168734,43176.598318948665,6.5,0.0,0.0,0.8772784374361546,0.47998181549885716,7.952236015747363
89621.08347689749,43177.30748548548,6.5,0.0,0.0,0.8451126102265996,0.5345883238866928,7.931965060406997
89620.80312632657,43178.00678512933,6.5,0.0,0.0,0.8105592213477015,0.5856566815876071,7.917159262727611
89620.5994865877,43178.77083334053,6.5,0.0,0.0,0.7741891643327717,0.6329542936340068,7.894067430587938
89620.49104769192,43179.54576577856,6.5,0.0,0.0,0.7350211836836883,0.6780441427637508,7.873640476086478
